Year,Borough,Number of Shootings
2006,Bronx,568
2006,Brooklyn,850
2006,Manhattan,288
2006,Queens,296
2006,Staten Island,53
2007,Bronx,533
2007,Brooklyn,833
2007,Manhattan,233
2007,Queens,238
2007,Staten Island,50
2008,Bronx,519
2008,Brooklyn,785
2008,Manhattan,259
2008,Queens,326
2008,Staten Island,69
2009,Bronx,529
2009,Brooklyn,770
2009,Manhattan,196
2009,Queens,278
2009,Staten Island,55
2010,Bronx,525
2010,Brooklyn,805
2010,Manhattan,258
2010,Queens,288
2010,Staten Island,34
2011,Bronx,571
2011,Brooklyn,839
2011,Manhattan,215
2011,Queens,264
2011,Staten Island,50
2012,Bronx,531
2012,Brooklyn,651
2012,Manhattan,196
2012,Queens,290
2012,Staten Island,49
2013,Bronx,371
2013,Brooklyn,593
2013,Manhattan,138
2013,Queens,185
2013,Staten Island,52
2014,Bronx,446
2014,Brooklyn,614
2014,Manhattan,143
2014,Queens,218
2014,Staten Island,43
2015,Bronx,409
2015,Brooklyn,583
2015,Manhattan,187
2015,Queens,205
2015,Staten Island,50
2016,Bronx,308
2016,Brooklyn,499
2016,Manhattan,167
2016,Queens,190
2016,Staten Island,44
2017,Bronx,306
2017,Brooklyn,357
2017,Manhattan,117
2017,Queens,143
2017,Staten Island,46
2018,Bronx,313
2018,Brooklyn,362
2018,Manhattan,105
2018,Queens,146
2018,Staten Island,25
